Senator1,Senator2,weight
14226,14435,171
14226,14858,218
14226,14871,194
14226,14921,547
14226,15015,205
14226,15021,173
14226,15408,194
14226,20101,560
14226,20146,544
14226,20330,189
14226,20351,500
14226,20707,189
14226,20713,196
14226,20735,204
14226,20750,180
14226,20919,515
14226,20923,210
14226,20930,202
14226,20932,200
14226,20953,529
14226,21133,567
14226,21166,543
14226,21173,403
14226,21301,531
14226,21325,201
14226,21338,521
14226,21350,492
14226,21355,519
14226,21708,547
14226,21734,479
14226,21743,211
14226,29142,204
14226,29147,157
14226,29345,525
14226,29373,178
14226,29389,212
14226,29534,564
14226,29566,431
14226,29722,526
14226,29732,198
14226,29754,569
14226,29940,200
14226,39310,199
14226,40300,398
14226,40305,574
14226,40700,207
14226,40702,228
14226,40703,204
14226,40704,197
14226,40707,488
14226,40902,500
14226,40906,201
14226,40908,173
14226,40909,200
14226,40910,206
14226,40915,233
14226,40916,192
14226,41101,200
14226,41102,479
14226,41104,474
14226,41107,521
14226,41110,486
14226,41111,523
14226,41112,200
14226,41300,208
14226,41301,177
14226,41302,564
14226,41304,486
14226,41305,193
14226,41308,188
14226,41500,498
14226,41502,538
14226,41504,482
14226,41505,522
14226,41700,204
14226,41702,211
14226,41703,523
14226,41706,193
14226,41707,542
14226,41900,442
14226,41901,458
14226,41902,494
14226,41903,473
14226,41905,199
14226,42100,468
14226,42101,210
14226,42102,470
14226,42103,208
14226,42104,192
14226,42105,193
14226,42300,508
14226,42301,148
14226,42302,546
14226,42303,498
14226,42304,420
14226,42305,104
14226,42306,6
14226,49300,34
14226,49308,201
14226,49703,400
14226,90915,26
14226,91300,222
14435,14858,582
14435,14871,599
14435,14921,169
14435,15015,589
14435,15021,562
14435,15408,578
14435,20101,128
14435,20146,176
14435,20330,587
14435,20351,74
14435,20707,601
14435,20713,606
14435,20735,586
14435,20750,605
14435,20919,156
14435,20923,583
14435,20930,595
14435,20932,592
14435,20953,107
14435,21133,199
14435,21166,113
14435,21173,57
14435,21301,109
14435,21325,595
14435,21338,108
14435,21350,145
14435,21355,110
14435,21708,103
14435,21734,93
14435,21743,574
14435,29142,595
14435,29147,546
14435,29345,105
14435,29373,472
14435,29389,577
14435,29534,151
14435,29566,297
14435,29722,162
14435,29732,574
14435,29754,125
14435,29940,597
14435,39310,593
14435,40300,367
14435,40305,152
14435,40700,577
14435,40702,549
14435,40703,572
14435,40704,581
14435,40707,89
14435,40902,97
14435,40906,571
14435,40908,596
14435,40909,571
14435,40910,582
14435,40915,371
14435,40916,568
14435,41101,591
14435,41102,99
14435,41104,96
14435,41107,117
14435,41110,80
14435,41111,86
14435,41112,587
14435,41300,573
14435,41301,621
14435,41302,107
14435,41304,91
14435,41305,591
14435,41308,577
14435,41500,109
14435,41502,115
14435,41504,210
14435,41505,212
14435,41700,587
14435,41702,583
14435,41703,150
14435,41706,582
14435,41707,123
14435,41900,84
14435,41901,72
14435,41902,198
14435,41903,73
14435,41905,560
14435,42100,81
14435,42101,579
14435,42102,66
14435,42103,590
14435,42104,580
14435,42105,590
14435,42300,85
14435,42301,462
14435,42302,115
14435,42303,66
14435,42304,88
14435,42305,354
14435,42306,71
14435,49300,113
14435,49308,589
14435,49703,401
14435,90915,59
14435,91300,512
14858,14871,614
14858,14921,219
14858,15015,633
14858,15021,577
14858,15408,612
14858,20101,171
14858,20146,220
14858,20330,600
14858,20351,101
14858,20707,618
14858,20713,619
14858,20735,631
14858,20750,604
14858,20919,200
14858,20923,632
14858,20930,623
14858,20932,623
14858,20953,128
14858,21133,249
14858,21166,160
14858,21173,72
14858,21301,147
14858,21325,630
14858,21338,133
14858,21350,172
14858,21355,151
14858,21708,144
14858,21734,108
14858,21743,623
14858,29142,638
14858,29147,520
14858,29345,151
14858,29373,477
14858,29389,611
14858,29534,195
14858,29566,338
14858,29722,201
14858,29732,619
14858,29754,173
14858,29940,617
14858,39310,624
14858,40300,413
14858,40305,200
14858,40700,624
14858,40702,582
14858,40703,619
14858,40704,622
14858,40707,123
14858,40902,138
14858,40906,608
14858,40908,588
14858,40909,615
14858,40910,629
14858,40915,398
14858,40916,604
14858,41101,634
14858,41102,137
14858,41104,87
14858,41107,150
14858,41110,80
14858,41111,110
14858,41112,625
14858,41300,615
14858,41301,601
14858,41302,157
14858,41304,110
14858,41305,618
14858,41308,595
14858,41500,133
14858,41502,162
14858,41504,256
14858,41505,261
14858,41700,626
14858,41702,630
14858,41703,178
14858,41706,619
14858,41707,166
14858,41900,86
14858,41901,81
14858,41902,236
14858,41903,83
14858,41905,609
14858,42100,111
14858,42101,623
14858,42102,79
14858,42103,627
14858,42104,604
14858,42105,607
14858,42300,126
14858,42301,502
14858,42302,162
14858,42303,83
14858,42304,95
14858,42305,375
14858,42306,72
14858,49300,121
14858,49308,624
14858,49703,451
14858,90915,70
14858,91300,545
14871,14921,191
14871,15015,622
14871,15021,579
14871,15408,601
14871,20101,145
14871,20146,198
14871,20330,605
14871,20351,87
14871,20707,619
14871,20713,622
14871,20735,618
14871,20750,617
14871,20919,175
14871,20923,621
14871,20930,618
14871,20932,618
14871,20953,122
14871,21133,222
14871,21166,132
14871,21173,63
14871,21301,121
14871,21325,617
14871,21338,122
14871,21350,160
14871,21355,128
14871,21708,116
14871,21734,99
14871,21743,610
14871,29142,623
14871,29147,535
14871,29345,123
14871,29373,481
14871,29389,613
14871,29534,166
14871,29566,314
14871,29722,181
14871,29732,608
14871,29754,144
14871,29940,626
14871,39310,627
14871,40300,404
14871,40305,172
14871,40700,611
14871,40702,588
14871,40703,607
14871,40704,611
14871,40707,106
14871,40902,110
14871,40906,593
14871,40908,607
14871,40909,602
14871,40910,614
14871,40915,394
14871,40916,595
14871,41101,621
14871,41102,109
14871,41104,94
14871,41107,135
14871,41110,86
14871,41111,100
14871,41112,612
14871,41300,600
14871,41301,620
14871,41302,129
14871,41304,97
14871,41305,607
14871,41308,603
14871,41500,117
14871,41502,134
14871,41504,235
14871,41505,242
14871,41700,619
14871,41702,615
14871,41703,163
14871,41706,610
14871,41707,138
14871,41900,87
14871,41901,80
14871,41902,213
14871,41903,75
14871,41905,594
14871,42100,98
14871,42101,607
14871,42102,75
14871,42103,609
14871,42104,597
14871,42105,601
14871,42300,101
14871,42301,487
14871,42302,134
14871,42303,70
14871,42304,97
14871,42305,363
14871,42306,66
14871,49300,120
14871,49308,621
14871,49703,432
14871,90915,66
14871,91300,533
14921,15015,204
14921,15021,186
14921,15408,194
14921,20101,542
14921,20146,541
14921,20330,185
14921,20351,477
14921,20707,190
14921,20713,190
